494981	2208998	1661892
510313	6884062	8279693
885596	3256648	1974773
669684	6015525	3039423
135176	5742958	7485317
277219	2953468	7912376
448528	928827	8372321
913323	3995598	5581154
468212	1086409	1319073
1160681	237317	6686015
1179015	4992814	7949046
984172	5121980	528002
865033	6099050	1914424
256153	3085818	1669033
1058647	5046223	48139
818400	4089787	32019
881653	5341096	2861357
671907	2319830	2154769
1062004	746612	6332908
15181	6606437	4678986
904014	4715011	2402441
468696	945083	2850871
212772	6557743	8370268
729040	4662300	6238615
996260	4928630	7500009
99921	4460941	301544
1069591	2760677	1564825
663167	6408868	3841463
814085	3020315	8574629
828571	5423508	2164306
914633	6303716	3482210
1031512	3398117	1030138
1150595	1533773	3655689
235755	2495110	2079616
554042	1636345	305827
429650	1964236	4450817
901425	4398241	7836031
768199	5006478	5006474
703852	7062592	1731164
515605	1544063	5501150
918989	4230081	5685709
47213	549229	2932557
329409	5499199	6450642
1071496	1849137	1104718
915636	2402583	675356
185697	228508	6003876
500682	5359542	4182024
521094	5869925	8023056
108582	6199300	3356646
295280	4824532	2858137
360070	4564603	575748
761825	4181852	4316855
677501	2007452	4212129
669589	1073779	152517
144440	5064321	5034229
648645	3289828	5748448
35056	5546467	1167790
771932	3404712	3027538
945492	2601247	647169
464131	1111686	5353118
494278	1145576	1811777
835499	2793403	8551078
1184760	592286	4254836
855211	4448303	5520149
768417	2870153	907492
93683	5994240	1621952
965988	2636211	5814091
936585	3545778	719088
111180	4127478	2107459
407337	6120153	1394966
1184410	2793893	5311471
13508	1530456	3269968
960860	5117566	3558260
499851	210472	8356892
503276	6847597	4327370
848794	4744507	5443646
334344	4258597	7069129
217144	3794300	6819600
766633	3621029	7295344
661611	3975478	4324435
102443	1220489	5498165
1056602	4538843	5421033
965198	3041327	3159198
727111	6574925	685139
345450	6367185	931590
127402	5964070	6672686
584866	656890	6118991
716916	1320742	3995720
735271	1486112	2390559
147003	919512	8011220
419181	685235	2576588
267760	462235	6801085
380723	3072999	4656437
130424	6195891	7637422
1151581	1438034	986139
1013105	5952181	1570564
909725	5978320	994946
616753	6671854	33979
1070010	3557481	189828
404566	1422220	6029847
286607	836112	8044276
721062	1874606	4953392
201816	6158739	7036226
555013	1906465	4306566
654786	6818158	7684483
755268	1805772	4186439
76816	4718216	7299692
1179123	4900647	8165697
1175205	7025548	527446
507147	6078485	5680475
517210	6872592	185706
543030	4734715	3098382
946224	4174887	7304719
422420	1101528	1270508
393140	598912	5184218
631484	298110	3114833
592597	1666198	1471204
579055	1696327	8449339
495507	393670	7276937
445615	3833681	7809563
1053781	4809014	3278830
1143828	2168446	8232164
902541	2037239	4147630
812091	3181118	3142755
17826	5503234	2679008
221711	65750	8358343
894494	4809702	6081520
393330	6266114	3522982
180086	5813239	3944572
596331	5870598	3780274
534645	2223374	2434794
612701	8424336	2745021
546616	1817181	6676922
1042354	2769898	1978937
540414	1946206	5538210
141811	1277697	6263837
801686	2608274	5744534
313276	3808978	3262202
1013563	3079994	3079995
977945	5232209	2104082
418114	5319024	1876731
69635	5613185	6454185
453394	429239	5716934
988252	3740936	2610062
843161	2850167	3184297
696307	817455	4906
658804	6211930	673340
954528	3649222	5312606
34049	3084817	6992882
599856	1136510	2165727
355772	8625025	6759078
280633	1852437	747340
1045805	2781208	6542472
154939	6616733	6702312
446427	1771304	2981844
391045	7682519	7764748
641893	6189045	3765038
471661	5243997	3980019
996022	4692457	2183104
417942	1370432	295189
287463	5817734	7097127
87252	2453715	1641239
204848	5610236	7312367
392917	1044345	7678189
918128	2284734	8074144
727687	6035990	2966471
58520	2036221	574790
39831	3151374	823587
294640	6527514	7588699
653155	756934	6236697
458488	2730710	2041649
254401	6445830	5260872
1168876	5077399	3088311
891526	3854757	2733204
